FIRST NAME,LAST NAME,TEAM,NUMBER,POSITION,HEIGHT(METER),WEIGHT(KG),COUNTRY,LAST ATTENDED,AGE(YEARS),BIRTHDATE,DRAFT,EXPERIENCE(YEARS)
Jeff,Dowtin,Milwaukee Bucks,21,Guard,1.91,80.0,USA,Rhode Island,24,1997-05-10,Undrafted,0
P.J.,Dozier,Denver Nuggets,35,Guard-Forward,1.98,93.0,USA,South Carolina,25,1996-10-25,Undrafted,4
Goran,Dragic,Toronto Raptors,1,Guard,1.91,86.0,Slovenia,Union Olimpija,35,1986-05-06,2008 R2 Pick 45,13
Andre,Drummond,Philadelphia 76ers,1,Center,2.08,127.0,USA,Connecticut,28,1993-08-10,2012 R1 Pick 9,9
Chris,Duarte,Indiana Pacers,3,Guard,1.96,86.0,Dominican Republic,Oregon,24,1997-06-13,2021 R1 Pick 13,0
David,Duke Jr.,Brooklyn Nets,6,Guard,1.93,93.0,USA,Providence,22,1999-10-13,Undrafted,0
Kevin,Durant,Brooklyn Nets,7,Forward,2.08,109.0,USA,Texas-Austin,33,1988-09-29,2007 R1 Pick 2,13
Anthony,Edwards,Minnesota Timberwolves,1,Guard,1.93,102.0,USA,Georgia,20,2001-08-05,2020 R1 Pick 1,1
Kessler,Edwards,Brooklyn Nets,14,Forward,2.01,92.0,USA,Pepperdine,21,2000-08-09,2021 R2 Pick 44,0
CJ,Elleby,Portland Trail Blazers,16,Forward-Guard,1.98,91.0,USA,Washington State,21,2000-06-16,2020 R2 Pick 46,1
Wayne,Ellington,Los Angeles Lakers,2,Guard,1.93,94.0,USA,North Carolina,34,1987-11-29,2009 R1 Pick 28,12
Joel,Embiid,Philadelphia 76ers,21,Center-Forward,2.13,127.0,Cameroon,Kansas,27,1994-03-16,2014 R1 Pick 3,5
Drew,Eubanks,San Antonio Spurs,14,Forward-Center,2.06,111.0,USA,Oregon State,24,1997-02-01,Undrafted,3
Tacko,Fall,Cleveland Cavaliers,99,Center,2.29,141.0,Senegal,Central Florida,26,1995-12-10,Undrafted,2
Derrick,Favors,Oklahoma City Thunder,15,Forward,2.06,120.0,USA,Georgia Tech,30,1991-07-15,2010 R1 Pick 3,11
Bruno,Fernando,Boston Celtics,28,Forward-Center,2.06,109.0,Angola,Maryland,23,1998-08-15,2019 R2 Pick 34,2
Dorian,Finney-Smith,Dallas Mavericks,10,Forward,2.01,100.0,USA,Florida,28,1993-05-04,Undrafted,5
Malik,Fitts,Utah Jazz,24,Forward,1.96,104.0,USA,St. Mary's College,24,1997-07-04,Undrafted,1
Malachi,Flynn,Toronto Raptors,22,Guard,1.85,79.0,USA,San Diego State,23,1998-05-09,2020 R1 Pick 29,1
Bryn,Forbes,San Antonio Spurs,7,Guard,1.88,93.0,USA,Michigan State,28,1993-07-23,Undrafted,5
Trent,Forrest,Utah Jazz,3,Guard,1.93,95.0,USA,Florida State,23,1998-06-12,Undrafted,1
Evan,Fournier,New York Knicks,13,Guard-Forward,1.98,93.0,France,Poitiers Basket 86,29,1992-10-29,2012 R1 Pick 20,9
De'Aaron,Fox,Sacramento Kings,5,Guard,1.91,84.0,USA,Kentucky,24,1997-12-20,2017 R1 Pick 5,4
Tim,Frazier,Orlando Magic,10,Guard,1.83,77.0,USA,Penn State,31,1990-11-01,Undrafted,7
Enes,Freedom,Boston Celtics,13,Center,2.08,113.0,Turkey,Fenerbahce,29,1992-05-20,2011 R1 Pick 3,10
Markelle,Fultz,Orlando Magic,20,Guard,1.93,95.0,USA,Washington,23,1998-05-29,2017 R1 Pick 1,4
Wenyen,Gabriel,LA Clippers,32,Forward,2.06,93.0,South Sudan,Kentucky,24,1997-03-26,Undrafted,2
Daniel,Gafford,Washington Wizards,21,Forward-Center,2.06,106.0,USA,Arkansas,23,1998-10-01,2019 R2 Pick 38,2
Danilo,Gallinari,Atlanta Hawks,8,Forward,2.08,107.0,Italy,Olimpia Milano,33,1988-08-08,2008 R1 Pick 6,12
Langston,Galloway,Milwaukee Bucks,7,Guard,1.85,91.0,USA,St. Joseph's (PA),30,1991-12-09,Undrafted,7
Darius,Garland,Cleveland Cavaliers,10,Guard,1.85,87.0,USA,Vanderbilt,21,2000-01-26,2019 R1 Pick 5,2
Marcus,Garrett,Miami Heat,0,Guard,1.96,93.0,USA,Kansas,23,1998-11-09,Undrafted,0
Usman,Garuba,Houston Rockets,16,Forward,2.03,104.0,Spain,Real Madrid,19,2002-03-09,2021 R1 Pick 23,0
Luka,Garza,Detroit Pistons,55,Center,2.08,110.0,USA,Iowa,23,1998-12-27,2021 R2 Pick 52,0
Rudy,Gay,Utah Jazz,8,Forward-Guard,2.03,113.0,USA,Connecticut,35,1986-08-17,2006 R1 Pick 8,15
Paul,George,LA Clippers,13,Forward,2.03,100.0,USA,Fresno State,31,1990-05-02,2010 R1 Pick 10,11
Taj,Gibson,New York Knicks,67,Forward,2.06,105.0,USA,Southern California,36,1985-06-24,2009 R1 Pick 26,12
Josh,Giddey,Oklahoma City Thunder,3,Guard,2.03,93.0,Australia,NBA Global Academy,19,2002-10-10,2021 R1 Pick 6,0
Shai,Gilgeous-Alexander,Oklahoma City Thunder,2,Guard,1.98,82.0,Canada,Kentucky,23,1998-07-12,2018 R1 Pick 11,3
Anthony,Gill,Washington Wizards,16,Forward,2.01,104.0,USA,Virginia,29,1992-10-17,Undrafted,1
Rudy,Gobert,Utah Jazz,27,Center,2.16,117.0,France,Cholet,29,1992-06-26,2013 R1 Pick 27,8
Brandon,Goodwin,Cleveland Cavaliers,0,Guard,1.83,82.0,USA,Florida Gulf Coast,26,1995-10-02,Undrafted,3
Aaron,Gordon,Denver Nuggets,50,Forward,2.03,107.0,USA,Arizona,26,1995-09-16,2014 R1 Pick 4,7
Eric,Gordon,Houston Rockets,10,Guard,1.91,98.0,USA,Indiana,33,1988-12-25,2008 R1 Pick 7,13
Devonte',Graham,New Orleans Pelicans,4,Guard,1.85,88.0,USA,Kansas,26,1995-02-22,2018 R2 Pick 34,3
Jerami,Grant,Detroit Pistons,9,Forward,2.03,95.0,USA,Syracuse,27,1994-03-12,2014 R2 Pick 39,7
Danny,Green,Philadelphia 76ers,14,Guard,1.98,98.0,USA,North Carolina,34,1987-06-22,2009 R2 Pick 46,12
Draymond,Green,Golden State Warriors,23,Forward,1.98,104.0,USA,Michigan State,31,1990-03-04,2012 R2 Pick 35,9
JaMychal,Green,Denver Nuggets,0,Forward-Center,2.03,103.0,USA,Alabama,31,1990-06-21,Undrafted,7
Jalen,Green,Houston Rockets,0,Guard,1.93,84.0,USA,NBA G League Ignite,19,2002-02-09,2021 R1 Pick 2,0
Javonte,Green,Chicago Bulls,24,Guard-Forward,1.96,93.0,USA,Radford,28,1993-07-23,Undrafted,2
Jeff,Green,Denver Nuggets,32,Forward,2.03,107.0,USA,Georgetown,35,1986-08-28,2007 R1 Pick 5,13
Josh,Green,Dallas Mavericks,8,Guard,1.96,91.0,Australia,Arizona,21,2000-11-16,2020 R1 Pick 18,1
Blake,Griffin,Brooklyn Nets,2,Forward,2.06,113.0,USA,Oklahoma,32,1989-03-16,2009 R1 Pick 1,11
Quentin,Grimes,New York Knicks,6,Guard,1.93,95.0,USA,Houston,21,2000-05-08,2021 R1 Pick 25,0
Rui,Hachimura,Washington Wizards,8,Forward,2.03,104.0,Japan,Gonzaga,23,1998-02-08,2019 R1 Pick 9,2
Tyrese,Haliburton,Sacramento Kings,0,Guard,1.96,84.0,USA,Iowa State,21,2000-02-29,2020 R1 Pick 12,1
R.J.,Hampton,Orlando Magic,13,Guard,1.93,79.0,USA,New Zealand Breakers,20,2001-02-07,2020 R1 Pick 24,1
Tim,Hardaway Jr.,Dallas Mavericks,11,Guard-Forward,1.96,93.0,USA,Michigan,29,1992-03-16,2013 R1 Pick 24,8
James,Harden,Brooklyn Nets,13,Guard,1.96,100.0,USA,Arizona State,32,1989-08-26,2009 R1 Pick 3,12
Maurice,Harkless,Sacramento Kings,8,Forward-Guard,2.01,100.0,USA,St. John's,28,1993-05-11,2012 R1 Pick 15,9
Jared,Harper,New Orleans Pelicans,2,Guard,1.78,79.0,USA,Auburn,24,1997-09-14,Undrafted,2
Montrezl,Harrell,Washington Wizards,6,Forward-Center,2.01,109.0,USA,Louisville,27,1994-01-26,2015 R2 Pick 32,6
Gary,Harris,Orlando Magic,14,Guard,1.93,95.0,USA,Michigan State,27,1994-09-14,2014 R1 Pick 19,7
Joe,Harris,Brooklyn Nets,12,Guard-Forward,1.98,100.0,USA,Virginia,30,1991-09-06,2014 R2 Pick 33,7
Tobias,Harris,Philadelphia 76ers,12,Forward,2.01,103.0,USA,Tennessee,29,1992-07-15,2011 R1 Pick 19,10
Josh,Hart,New Orleans Pelicans,3,Guard,1.96,98.0,USA,Villanova,26,1995-03-06,2017 R1 Pick 30,4
Isaiah,Hartenstein,LA Clippers,55,Center-Forward,2.13,113.0,Germany,Zalgiris,23,1998-05-05,2017 R2 Pick 43,3
Udonis,Haslem,Miami Heat,40,Forward,2.03,107.0,USA,Florida,41,1980-06-09,Undrafted,18
Sam,Hauser,Boston Celtics,30,Forward,2.01,98.0,USA,Virginia,24,1997-12-08,Undrafted,0
Jaxson,Hayes,New Orleans Pelicans,10,Center-Forward,2.11,100.0,USA,Texas-Austin,21,2000-05-23,2019 R1 Pick 8,2
Killian,Hayes,Detroit Pistons,7,Guard,1.96,88.0,France,Ratiopharm Ulm,20,2001-07-27,2020 R1 Pick 7,1
Gordon,Hayward,Charlotte Hornets,20,Forward,2.01,102.0,USA,Butler,31,1990-03-23,2010 R1 Pick 9,11
Aaron,Henry,Philadelphia 76ers,50,Forward,1.96,95.0,USA,Michigan State,22,1999-08-30,Undrafted,0
Juancho,Hernangomez,Boston Celtics,41,Forward,2.06,97.0,Spain,Estudiantes,26,1995-09-28,2016 R1 Pick 15,5
Willy,Hernangomez,New Orleans Pelicans,9,Center-Forward,2.11,113.0,Spain,Cajasol Sevilla,27,1994-05-27,2015 R2 Pick 35,5
Tyler,Herro,Miami Heat,14,Guard,1.96,88.0,USA,Kentucky,21,2000-01-20,2019 R1 Pick 13,2
Buddy,Hield,Sacramento Kings,24,Guard,1.93,100.0,Bahamas,Oklahoma,29,1992-12-17,2016 R1 Pick 6,5
George,Hill,Milwaukee Bucks,3,Guard,1.93,85.0,USA,Indiana-Purdue Indianapolis,35,1986-05-04,2008 R1 Pick 26,13
Solomon,Hill,Atlanta Hawks,18,Forward,1.98,103.0,USA,Arizona,30,1991-03-18,2013 R1 Pick 23,8
